"text-gray-900","text-gray-900 2","text-gray-900 3","text-gray-900 4","text-gray-400","text-gray-900 5","font-mono","font-mono 2","font-mono 3","text-gray-900 6","text-gray-400 2"
"5/5/2026","BiCRS - Biochar Carbon Removal (BCR)","Carbonex | Soler Group","Not Disclosed","—","Klimate","395","395","0","Delivered",""
"5/4/2026","BiCRS - Biochar Carbon Removal (BCR)","Biokolprodukter","Not Disclosed","—","Klimate","87","87","0","Delivered",""
"5/4/2026","BiCRS - Biochar Carbon Removal (BCR)","Biokolprodukter","Not Disclosed","","Klimate","150","150","0","Klimate",""
"5/4/2026","BiCRS - Biochar Carbon Removal (BCR)","Biokolprodukter","Not Disclosed","—","Klimate","381","381","0","Delivered",""
"4/30/2026","Enhanced Weathering (EW)","Alt Carbon","Not Disclosed","—","Delivered","6,509","6,509","0","","—"
"4/30/2026","BiCRS - Biochar Carbon Removal (BCR)","Exomad Green","The Economist Group","—","Carbonfuture","155","155","0","Delivered",""
"4/29/2026","Direct Air Carbon Capture and Sequestration (DACCS)","Octavia Carbon","Wren Climate, PBC","—","Contracted","46","0","0","","—"
"4/29/2026","Direct Air Carbon Capture and Sequestration (DACCS)","Octavia Carbon","Climate Impact Partners","—","Contracted","7","0","0","","—"
"4/21/2026","mCDR - Direct Ocean Removal","Captura","Future Planet Capital","—","Contracted","6","0","0","","—"
"4/21/2026","BiCRS - Biochar Carbon Removal (BCR)","Engrow","Altitude","—","Contracted","425,000","0","0","","—"
"4/15/2026","Enhanced Weathering (EW)","Alt Carbon","Mitsui OSK Lines","—","Partial","2,283.08","2,283.08","0","","—"
"4/15/2026","BiCRS - Biochar Carbon Removal (BCR)","Exomad Green","Not Disclosed","—","Supercritical","500,000","0","0","Contracted",""
"4/14/2026","BiCRS - Biochar Carbon Removal (BCR)","Biokol.se","MAX Burgers","—","Contracted","1,200","0","0","","—"
"4/14/2026","BiCRS - Biochar Carbon Removal (BCR)","Exomad Green","Not Disclosed","","Climate Impact Partners","12,000","4,000","0","Climate Impact Partners",""
"4/9/2026","BiCRS - Biomass Direct Storage","Graphyte","JPMorgan Chase","—","Contracted","60,000","0","0","","—"
"4/6/2026","BiCRS - Bioenergy with Carbon Capture and Sequestration (BECCS)","North Star Carbon Solutions","Microsoft","—","Contracted","626,000","0","0","","—"
"4/2/2026","BiCRS - Biomass Direct Storage","Mast Reforestation","Upwork","—","Cnaught","18","18","18","Retired",""
"4/2/2026","BiCRS - Biochar Carbon Removal (BCR)","Exomad Green","Generation Investment Management","—","Patch","745","745","745","Retired",""
"4/1/2026","Mineralization - Ex-situ","O.C.O. Technology","Not Disclosed","—","CEEZER","25","25","25","Retired",""
"4/1/2026","Mineralization - Ex-situ","O.C.O. Technology","Not Disclosed","—","Retired","19","19","19","","—"
"4/1/2026","Mineralization - Ex-situ","O.C.O. Technology","Not Disclosed","—","CEEZER","275","275","275","Retired",""
"4/1/2026","BiCRS - Biomass Direct Storage","Graphyte","ClimeFi","—","Delivered","3,000","3,000","0","","—"
"3/31/2026","mCDR - Alkalinity Enhancement - Coastal","Planetary","Watershed","—","Delivered","29","29","0","","—"
"3/31/2026","BiCRS - Biochar Carbon Removal (BCR)","Planboo","DSC Meridian","—","Cnaught","3","3","3","Retired",""
"3/31/2026","mCDR - Alkalinity Enhancement - Coastal","Planetary","Google","—","Delivered","220","220","0","","—"
"3/31/2026","BiCRS - Biomass Geological Sequestration","Vaulted Deep","Shopify","—","Delivered","700","700","0","","—"
"3/31/2026","mCDR - Alkalinity Enhancement - Coastal","Planetary","McKinsey","—","Delivered","18","18","0","","—"
"3/31/2026","mCDR - Alkalinity Enhancement - Coastal","Planetary","H&M Group","—","Delivered","27","27","0","","—"
"3/31/2026","mCDR - Alkalinity Enhancement - Coastal","Planetary","Autodesk","—","Retired","5","5","5","","—"
"3/31/2026","Direct Air Carbon Capture and Sequestration (DACCS)","Gevo, Inc.","Amgen Inc.","—","3Degrees Group, Inc.","250","250","250","Retired",""
"3/31/2026","mCDR - Alkalinity Enhancement - Coastal","Planetary","Stripe","—","Delivered","635","635","0","","—"
"3/31/2026","mCDR - Alkalinity Enhancement - Coastal","Planetary","Workday","—","Retired","50","50","50","","—"
"3/31/2026","BiCRS - Biochar Carbon Removal (BCR)","Exomad Green","Macquarie Group","—","Supercritical","500","500","500","Retired",""
"3/31/2026","BiCRS - Biochar Carbon Removal (BCR)","Exomad Green","International Monetary Fund","—","First Climate","1,700","1,700","1,700","Retired",""
"3/31/2026","mCDR - Alkalinity Enhancement - Coastal","Planetary","Shopify","—","Retired","182","182","182","","—"
"3/31/2026","BiCRS - Biomass Direct Storage","Mast Reforestation","DSC Meridian","—","Cnaught","3","3","3","Retired",""
"3/31/2026","mCDR - Alkalinity Enhancement - Coastal","Planetary","Salesforce","—","Delivered","176","176","0","","—"
"3/31/2026","BiCRS - Biomass Direct Storage","Mast Reforestation","BWBR Architects, Inc.","—","Cnaught","4","4","4","Retired",""
"3/30/2026","BiCRS - Biomass Direct Storage","Mast Reforestation","Bain & Company","—","Carbonplace","371","371","371","Retired",""
"3/30/2026","BiCRS - Biomass Geological Sequestration","NULIFE GreenTech","Shopify","—","Retired","23","23","23","","—"
"3/30/2026","BiCRS - Biochar Carbon Removal (BCR)","NetZero","Bain & Company","—","Carbonplace","2","2","2","Retired",""
"3/30/2026","BiCRS - Biochar Carbon Removal (BCR)","NetZero","Bain & Company","—","Carbonplace","398","398","398","Retired",""
"3/30/2026","BiCRS - Biochar Carbon Removal (BCR)","Planboo","Bain & Company","—","Carbonplace","118","118","118","Retired",""
"3/30/2026","BiCRS - Biomass Geological Sequestration","NULIFE GreenTech","H&M Group","—","Delivered","31.9","31.9","0","","—"
"3/30/2026","BiCRS - Biochar Carbon Removal (BCR)","Planboo","Bain & Company","—","Carbonplace","382","382","382","Retired",""
"3/30/2026","BiCRS - Biomass Geological Sequestration","NULIFE GreenTech","Kieran Lewko","—","Retired","0.02","0.02","0.02","","—"
"3/30/2026","BiCRS - Biomass Geological Sequestration","NULIFE GreenTech","H&M Group","—","Delivered","81","81","0","","—"
"3/30/2026","BiCRS - Biomass Geological Sequestration","NULIFE GreenTech","Stripe","—","Delivered","82","82","0","","—"
"3/30/2026","BiCRS - Biochar Carbon Removal (BCR)","NetZero","Bain & Company","—","Carbonplace","600","600","600","Retired",""
"3/30/2026","Mineralization - Ex-situ","O.C.O. Technology","Bain & Company","—","Carbonplace","3,400","3,400","3,400","Retired",""
"3/30/2026","BiCRS - Biomass Geological Sequestration","NULIFE GreenTech","Autodesk","—","Retired","36","36","36","","—"
"3/30/2026","BiCRS - Biomass Direct Storage","Tivano AG","Not Disclosed","—","Delivered","1,049","1,049","0","","—"
"3/30/2026","Mineralization - Ex-situ","O.C.O. Technology","Bain & Company","—","Carbonplace","100","100","100","Retired",""
"3/30/2026","BiCRS - Biomass Geological Sequestration","NULIFE GreenTech","Google","—","Delivered","12.5","12.5","0","","—"
"3/26/2026","BiCRS - Biochar Carbon Removal (BCR)","Bordet","LocalTapiola","—","South Pole","110","110","110","Retired",""
"3/26/2026","Enhanced Weathering (EW)","InPlanet","ClimeFi","—","Delivered","90","90","0","","—"
"3/26/2026","BiCRS - Biochar Carbon Removal (BCR)","Aperam BioEnergia","Not Disclosed","—","Anthesis B.V.","391","391","391","Retired",""
"3/26/2026","BiCRS - Biochar Carbon Removal (BCR)","Freres Biochar","Not Disclosed","—","Anthesis B.V.","125","125","125","Retired",""
"3/26/2026","BiCRS - Biochar Carbon Removal (BCR)","Novocarbo","Not Disclosed","—","Anthesis B.V.","46","46","46","Retired",""
"3/26/2026","Enhanced Weathering (EW)","InPlanet","ClimeFi","—","Delivered","120","120","0","","—"
"3/25/2026","Mineralization - Ex-situ","O.C.O. Technology","Not Disclosed","—","Retired","253","253","253","","—"
"3/25/2026","Mineralization - Ex-situ","O.C.O. Technology","Not Disclosed","—","Retired","770","770","770","","—"
"3/25/2026","Mineralization - Ex-situ","O.C.O. Technology","Not Disclosed","—","Retired","2,735","2,735","2,735","","—"
"3/25/2026","Mineralization - Ex-situ","O.C.O. Technology","Not Disclosed","—","Supercritical","297","297","297","Retired",""
"3/25/2026","BiCRS - Biochar Carbon Removal (BCR)","Wakefield Biochar","Base Network","—","Toucan","4","4","4","Retired",""
"3/25/2026","BiCRS - Biochar Carbon Removal (BCR)","Charm Industrial","JPMorgan Chase","—","Retired","0","0","","","—"
"3/25/2026","Mineralization - Ex-situ","O.C.O. Technology","Not Disclosed","—","Retired","803","803","803","","—"
"3/25/2026","Direct Air Carbon Capture and Sequestration (DACCS)","Gevo, Inc.","Trellis","—","Cnaught","9","9","9","Retired",""
"3/25/2026","Mineralization - Ex-situ","O.C.O. Technology","Not Disclosed","—","Retired","2,142","2,142","2,142","","—"
"3/25/2026","Enhanced Weathering (EW)","Lithos","Not Disclosed","—","Retired","439","439","439","","—"
"3/25/2026","Enhanced Weathering (EW)","Lithos","Not Disclosed","—","Retired","200","200","200","","—"
"3/25/2026","Mineralization - Ex-situ","O.C.O. Technology","Not Disclosed","—","Retired","694","694","694","","—"
"3/25/2026","BiCRS - Biochar Carbon Removal (BCR)","Aperam BioEnergia","Leake Family","—","Toucan","1","1","1","Retired",""
"3/25/2026","BiCRS - Biochar Carbon Removal (BCR)","Truecoco Ghana","Not Disclosed","—","Remove Carbon Today","2","2","2","Retired",""
"3/24/2026","BiCRS - Biochar Carbon Removal (BCR)","Liferaft","Microsoft","—","Supercritical","1,000,000","0","0","Contracted",""
"3/24/2026","BiCRS - Biochar Carbon Removal (BCR)","Truecoco Ghana","Not Disclosed","—","Remove Carbon Today","1","1","1","Retired",""
"3/23/2026","BiCRS - Biochar Carbon Removal (BCR)","Empacar","Altitude","—","Contracted","305,000","0","0","","—"
"3/23/2026","BiCRS - Biochar Carbon Removal (BCR)","Charm Industrial","JPMorgan Chase","—","Retired","698.7","698.7","698.7","","—"
"3/23/2026","BiCRS - Biochar Carbon Removal (BCR)","Freres Biochar","Not Disclosed","—","First Climate","3,984","3,984","3,984","Retired",""
"3/23/2026","BiCRS - Biochar Carbon Removal (BCR)","Freres Biochar","Not Disclosed","—","First Climate","16","16","16","Retired",""
"3/20/2026","Mineralization - Ex-situ","Not Disclosed","Not Disclosed","—","Climeworks Solutions","8,420","8,420","0","Delivered",""
"3/20/2026","Enhanced Weathering (EW)","Not Disclosed","Not Disclosed","—","Climeworks Solutions","670","670","0","Delivered",""
"3/20/2026","BiCRS - Biochar Carbon Removal (BCR)","Exomad Green","Phoenix Court Group Limited","—","Supercritical","145","145","145","Retired",""
"3/20/2026","BiCRS - Biochar Carbon Removal (BCR)","Pacific Biochar","Watershed","—","Delivered","100","100","0","","—"
"3/20/2026","BiCRS - Biochar Carbon Removal (BCR)","Not Disclosed","Not Disclosed","—","Climeworks Solutions","140","140","0","Delivered",""
"3/19/2026","BiCRS - Biochar Carbon Removal (BCR)","Wakefield Biochar","Ecologi Action Ltd","—","Ecologi Action Ltd","4","4","4","Retired",""
"3/19/2026","BiCRS - Biochar Carbon Removal (BCR)","BC Trading AB","Not Disclosed","—","Nordic Offset","62","62","62","Retired",""
"3/18/2026","Enhanced Weathering (EW)","Not Disclosed","Not Disclosed","—","Climeworks Solutions","689","0","0","Contracted",""
"3/18/2026","BiCRS - Bioenergy with Carbon Capture and Sequestration (BECCS)","Not Disclosed","Not Disclosed","—","Climeworks Solutions","97","0","0","Contracted",""
"3/18/2026","Direct Air Carbon Capture and Sequestration (DACCS)","Climeworks","Not Disclosed","—","Climeworks Solutions","124","0","0","Contracted",""
"3/18/2026","BiCRS - Biochar Carbon Removal (BCR)","Climeworks","TikTok","","Climeworks Solutions","2,800","0","0","Climeworks Solutions",""
"3/17/2026","BiCRS - Biochar Carbon Removal (BCR)","Carboneers","Not Disclosed","—","ClimeFi","2,500","0","0","Contracted",""
"3/17/2026","BiCRS - Biochar Carbon Removal (BCR)","ACT Commodities","Simon Capital Management GmbH","—","SQUAKE","2","2","2","Retired",""
"3/17/2026","Direct Air Carbon Capture and Sequestration (DACCS)","Sirona Technologies","Not Disclosed","—","ClimeFi","1,000","0","0","Contracted",""
"3/17/2026","BiCRS - Biochar Carbon Removal (BCR)","AMP","Google","—","Contracted","200,000","0","0","","—"
"3/17/2026","BiCRS - Biochar Carbon Removal (BCR)","Accend AS","Gatwick Airport Ltd","—","Ecologi Action Ltd","150","150","150","Retired",""
"3/17/2026","Mineralization - Ex-situ","O.C.O. Technology","Not Disclosed","—","ClimeFi","1,500","0","0","Contracted",""
"3/16/2026","Enhanced Weathering (EW)","Not Disclosed","Not Disclosed","—","Climeworks Solutions","854","0","0","Contracted",""
"3/16/2026","Direct Air Carbon Capture and Sequestration (DACCS)","Climeworks","Climeworks Pioneers","—","Climeworks Solutions","2,950","0","0","Contracted",""
"3/16/2026","BiCRS - Bioenergy with Carbon Capture and Sequestration (BECCS)","Not Disclosed","Not Disclosed","—","Climeworks Solutions","156","0","0","Contracted",""
"3/16/2026","BiCRS - Bioenergy with Carbon Capture and Sequestration (BECCS)","Not Disclosed","Climeworks Pioneers","—","Climeworks Solutions","347","0","0","Contracted",""
"3/16/2026","BiCRS - Biochar Carbon Removal (BCR)","Not Disclosed","Not Disclosed","—","Climeworks Solutions","2,019","0","0","Contracted",""
"3/16/2026","BiCRS - Biochar Carbon Removal (BCR)","Not Disclosed","Not Disclosed","—","Climeworks Solutions","1,226","0","0","Contracted",""
"3/16/2026","BiCRS - Biochar Carbon Removal (BCR)","Exomad Green","Envirotainer","—","South Pole","75","75","75","Retired",""
"3/16/2026","BiCRS - Biochar Carbon Removal (BCR)","Not Disclosed","Climeworks Pioneers","—","Climeworks Solutions","152","0","0","Contracted",""
"3/16/2026","Enhanced Weathering (EW)","Not Disclosed","Climeworks Pioneers","—","Climeworks Solutions","180","0","0","Contracted",""
"3/12/2026","Direct Air Carbon Capture and Sequestration (DACCS)","Climeworks","Not Disclosed","—","Climeworks Solutions","15","15","15","Retired",""
"3/12/2026","BiCRS - Biochar Carbon Removal (BCR)","Wakefield Biochar","Figma","—","Watershed","195","195","195","Retired",""
"3/12/2026","BiCRS - Biomass Direct Storage","Graphyte","JPMorgan Chase","—","Carbon Direct","1,250","1,250","1,250","Retired",""
"3/12/2026","BiCRS - Biochar Carbon Removal (BCR)","Accend AS","Doordash","—","Watershed","100","100","100","Retired",""
"3/12/2026","BiCRS - Biochar Carbon Removal (BCR)","Wakefield Biochar","Figma","—","Watershed","407","407","407","Retired",""
"3/11/2026","BiCRS - Biochar Carbon Removal (BCR)","Exomad Green","Copenhagen Airport","—","Klimate","380","380","380","Retired",""
"3/10/2026","BiCRS - Biochar Carbon Removal (BCR)","Exomad Green","Balderton","—","Supercritical","100","100","100","Retired",""
"3/9/2026","BiCRS - Biochar Carbon Removal (BCR)","ACT Commodities","Gresham Smith","—","ClimeCo","50","50","50","Retired",""
"3/9/2026","Direct Air Carbon Capture and Sequestration (DACCS)","Climeworks","Climeworks Pioneers","—","Climeworks Solutions","85","85","85","Retired",""
"3/9/2026","BiCRS - Biochar Carbon Removal (BCR)","Exomad Green","Albion Capital Group","—","Supercritical","130","130","130","Retired",""
"3/9/2026","BiCRS - Biochar Carbon Removal (BCR)","Exomad Green","Mewburn Ellis","—","Supercritical","61","61","61","Retired",""
"3/9/2026","Direct Air Carbon Capture and Sequestration (DACCS)","Climeworks","Climeworks Pioneers","—","Climeworks Solutions","62","62","62","Retired",""
"3/9/2026","BiCRS - Biochar Carbon Removal (BCR)","Bussme Energy","Hangon Satama - Hangö Hamn Oy Ab","—","Nordic Offset","7","7","7","Retired",""
"3/8/2026","BiCRS - Biochar Carbon Removal (BCR)","Carbon Removal","Not Disclosed","—","Cloverly","35","35","35","Retired",""
"3/8/2026","BiCRS - Biochar Carbon Removal (BCR)","Carbon Removal","Cloverly Inc.","—","Cloverly","2","2","2","Retired",""
"3/6/2026","BiCRS - Biomass Direct Storage","Mast Reforestation","BMO Financial Group","—","Retired","370","370","370","","—"
"3/5/2026","BiCRS - Biomass Direct Storage","Mast Reforestation","Catawba College","—","Cnaught","35","35","35","Retired",""
"3/5/2026","BiCRS - Biochar Carbon Removal (BCR)","Wakefield Biochar","Ecologi Action Ltd","—","Ecologi Action Ltd","4","4","4","Retired",""
"3/5/2026","BiCRS - Biochar Carbon Removal (BCR)","Accend AS","Orms","—","Ecologi Action Ltd","19","19","19","Retired",""
"3/5/2026","BiCRS - Biochar Carbon Removal (BCR)","Exomad Green","Mercedes-Benz AG","—","South Pole","219","219","219","Retired",""
"3/5/2026","BiCRS - Biochar Carbon Removal (BCR)","Exomad Green","Mercedes-Benz AG","—","South Pole","3,380","3,380","3,380","Retired",""
"3/4/2026","BiCRS - Biochar Carbon Removal (BCR)","Exomad Green","Softwire","—","Supercritical","161","161","161","Retired",""
"3/4/2026","BiCRS - Biomass Direct Storage","Underground Forest","Scature","—","Oncra","68","68","0","Delivered",""
"3/4/2026","BiCRS - Biochar Carbon Removal (BCR)","Exomad Green","Softwire","—","Supercritical","925","925","925","Retired",""
"3/4/2026","BiCRS - Biomass Direct Storage","Underground Forest","Provincie Utrecht","—","Oncra","81","81","0","Delivered",""
"3/4/2026","BiCRS - Biochar Carbon Removal (BCR)","Planboo","Softwire","—","Supercritical","137","137","137","Retired",""
"3/4/2026","BiCRS - Biomass Direct Storage","Mast Reforestation","Woodbourne","—","Cnaught","5","5","5","Retired",""
"3/4/2026","BiCRS - Biomass Direct Storage","Underground Forest","Provincie Utrecht","—","Oncra","18","18","0","Delivered",""
"3/4/2026","BiCRS - Biomass Direct Storage","Underground Forest","Provincie Utrecht","—","Oncra","45","45","0","Delivered",""
"3/4/2026","BiCRS - Biochar Carbon Removal (BCR)","Exomad Green","10x Banking Technology","—","Supercritical","51","51","51","Retired",""
"3/4/2026","BiCRS - Biomass Direct Storage","RECOAL","Deutscher Verband für Negative Emissionen","—","Delivered","2","2","0","","—"
"3/4/2026","BiCRS - Biochar Carbon Removal (BCR)","Exomad Green","Softwire","—","Supercritical","239","239","239","Retired",""
"3/4/2026","BiCRS - Biomass Direct Storage","Underground Forest","Provincie Utrecht","—","Oncra","64","64","0","Delivered",""
"3/4/2026","BiCRS - Biomass Direct Storage","Underground Forest","Cycling 4 Climate","—","Oncra","20","20","0","Delivered",""
"2/28/2026","BiCRS - Biomass Geological Sequestration","Charm Industrial","JPMorgan Chase","—","Retired","41.3","41.3","41.3","","—"
"2/27/2026","BiCRS - Biomass Geological Sequestration","Vaulted Deep","Shopify","—","Delivered","185","185","0","","—"
"2/27/2026","BiCRS - Biomass Geological Sequestration","Vaulted Deep","Meta Platforms","—","Delivered","299","299","0","","—"
"2/27/2026","BiCRS - Biomass Geological Sequestration","Vaulted Deep","McKinsey","—","Retired","37","37","37","","—"
"2/27/2026","BiCRS - Biomass Direct Storage","Carbonsate","FAE Consulting GmbH","—","Retired","10","10","10","","—"
"2/27/2026","BiCRS - Biomass Geological Sequestration","Vaulted Deep","Workday","—","Retired","52","52","52","","—"
"2/27/2026","BiCRS - Biomass Geological Sequestration","Vaulted Deep","JPMorgan Chase","—","Retired","160","160","160","","—"
"2/27/2026","BiCRS - Biomass Geological Sequestration","Vaulted Deep","Stripe","—","Delivered","661","661","0","","—"
"2/27/2026","BiCRS - Biochar Carbon Removal (BCR)","Pacific Biochar","Watershed","—","Delivered","500","500","0","","—"
"2/27/2026","BiCRS - Biomass Geological Sequestration","Vaulted Deep","Autodesk","—","Retired","21","21","21","","—"
"2/27/2026","BiCRS - Biomass Geological Sequestration","Vaulted Deep","H&M Group","—","Delivered","29","29","0","","—"
"2/27/2026","BiCRS - Biomass Geological Sequestration","Vaulted Deep","Google","—","Delivered","230","230","0","","—"
"2/26/2026","BiCRS - Biochar Carbon Removal (BCR)","Truecoco Ghana","Not Disclosed","—","Remove Carbon Today","1","1","1","Retired",""
"2/26/2026","BiCRS - Biochar Carbon Removal (BCR)","Varaha","Not Disclosed","—","Partial","4,995","4,993","0","","—"
"2/25/2026","BiCRS - Biochar Carbon Removal (BCR)","Bordet","LocalTapiola","—","South Pole","45","45","45","Retired",""
"2/24/2026","BiCRS - Biochar Carbon Removal (BCR)","Varaha","Markel International Services Limited","—","CUR8","300","300","300","Retired",""
"2/23/2026","BiCRS - Biochar Carbon Removal (BCR)","Aperam BioEnergia","Fundação Dom Cabral","—","Retired","26","26","26","","—"
"2/20/2026","BiCRS - Biochar Carbon Removal (BCR)","Oregon Biochar Solutions","Not Disclosed","—","Climate Impact Partners","150","150","150","Retired",""
"2/20/2026","BiCRS - Biomass Geological Sequestration","Vaulted Deep","Figma","—","Watershed","75","75","75","Retired",""
"2/19/2026","BiCRS - Biomass Geological Sequestration","Vaulted Deep","Watershed","—","Delivered","41","41","0","","—"
"2/19/2026","BiCRS - Biochar Carbon Removal (BCR)","Aperam BioEnergia","Electronic Arts","—","Anthesis B.V.","200","200","200","Retired",""
"2/18/2026","BiCRS - Biochar Carbon Removal (BCR)","Carbon Cycle","Not Disclosed","—","Cool Effect Inc","1","1","1","Retired",""
"2/17/2026","BiCRS - Biochar Carbon Removal (BCR)","Truecoco Ghana","Not Disclosed","—","Remove Carbon Today","1","1","1","Retired",""
"2/16/2026","BiCRS - Biochar Carbon Removal (BCR)","Planboo","Second Nature","—","Cnaught","4","4","4","Retired",""
"2/16/2026","BiCRS - Biochar Carbon Removal (BCR)","Varaha","Not Disclosed","","CEEZER","2,815","2,815","0","CEEZER",""
"2/16/2026","BiCRS - Biomass Geological Sequestration","Charm Industrial","Meta Platforms","—","Delivered","6.18","6.18","0","","—"
"2/16/2026","BiCRS - Biomass Geological Sequestration","Vaulted Deep","Samsara","—","Watershed","300","300","300","Retired",""
"2/14/2026","Mineralization - Ex-situ","O.C.O. Technology","Not Disclosed","—","Supercritical","300","300","0","Delivered",""
"2/14/2026","Mineralization - Ex-situ","O.C.O. Technology","Not Disclosed","—","Carbonx SAS","34","34","0","Delivered",""
"2/14/2026","Mineralization - Ex-situ","O.C.O. Technology","Not Disclosed","—","The Carbon Removers Limited","1","1","0","Delivered",""
"2/14/2026","Mineralization - Ex-situ","O.C.O. Technology","Not Disclosed","—","Nature Broking","150","150","0","Delivered",""
"2/14/2026","Mineralization - Ex-situ","O.C.O. Technology","Not Disclosed","—","Carbonplace","3,428","3,428","0","Delivered",""
"2/14/2026","Mineralization - Ex-situ","O.C.O. Technology","Not Disclosed","—","Carbonplace","258","258","0","Delivered",""
"2/13/2026","BiCRS - Biomass Direct Storage","Mast Reforestation","RDH","—","Cnaught","7","7","7","Retired",""
"2/12/2026","BiCRS - Biochar Carbon Removal (BCR)","Exomad Green","Not Disclosed","","Senken","105,000","0","0","Senken",""
"2/12/2026","BiCRS - Biochar Carbon Removal (BCR)","Wakefield Biochar","Datadog, Inc.","—","Watershed","310","310","310","Retired",""
"2/12/2026","BiCRS - Biochar Carbon Removal (BCR)","Wakefield Biochar","T. Rowe Price","—","Watershed","195","195","195","Retired",""
"2/11/2026","BiCRS - Biochar Carbon Removal (BCR)","Bussme Energy","Suomen Yliopistokiinteistöt","—","Retired","70","70","70","","—"
"2/11/2026","BiCRS - Biochar Carbon Removal (BCR)","BC Trading AB","Suomen Yliopistokiinteistöt","—","Retired","301","301","301","","—"
"2/11/2026","BiCRS - Biochar Carbon Removal (BCR)","Bussme Energy","Suomen Yliopistokiinteistöt","—","Retired","12","12","12","","—"
"2/10/2026","BiCRS - Biochar Carbon Removal (BCR)","Freres Biochar","Not Disclosed","—","Retired","50","50","50","","—"
"2/10/2026","BiCRS - Bioenergy with Carbon Capture and Sequestration (BECCS)","Gevo, Inc.","Paypal","—","Retired","130","130","130","","—"
"2/10/2026","BiCRS - Biochar Carbon Removal (BCR)","Oplandske Bioenergi (OBIO)","Suomen Yliopistokiinteistöt","—","Retired","84","84","84","","—"
"2/10/2026","BiCRS - Biochar Carbon Removal (BCR)","Carbon Cycle","Suomen Yliopistokiinteistöt","—","Retired","14","14","14","","—"
"2/9/2026","BiCRS - Biochar Carbon Removal (BCR)","Pacific Biochar","Zopeful Climate","—","Delivered","5","5","0","","—"
"2/8/2026","Mineralization - Ex-situ","Neustark","Swiss Re","—","Retired","19","19","19","","—"
"2/7/2026","BiCRS - Biochar Carbon Removal (BCR)","Pacific Biochar","Samsara","—","Watershed","86","86","86","Retired",""
"2/6/2026","BiCRS - Biochar Carbon Removal (BCR)","BC Trading AB","Not Disclosed","—","Nordic Offset","39","39","0","Delivered",""
"2/6/2026","BiCRS - Biochar Carbon Removal (BCR)","Carbofex","Shopify","—","Retired","567","567","567","","—"
"2/6/2026","Enhanced Weathering (EW)","Not Disclosed","Not Disclosed","—","Climeworks Solutions","6,076","0","0","Contracted",""
"2/6/2026","BiCRS - Biochar Carbon Removal (BCR)","Carbofex","Shopify","—","Retired","74","74","74","","—"
"2/6/2026","BiCRS - Biochar Carbon Removal (BCR)","Not Disclosed","Not Disclosed","—","Climeworks Solutions","424","0","0","Contracted",""
"2/6/2026","BiCRS - Bioenergy with Carbon Capture and Sequestration (BECCS)","Not Disclosed","Not Disclosed","—","Climeworks Solutions","5,127","0","0","Contracted",""
"2/5/2026","Mineralization - Ex-situ","O.C.O. Technology","Not Disclosed","—","Patch","100","100","100","Retired",""
"2/5/2026","BiCRS - Biomass Direct Storage","Carbonsate","Not Disclosed","—","Retired","48","48","48","","—"
"2/4/2026","Mineralization - Ex-situ","O.C.O. Technology","Sensirion Holding AG","—","Carbonplace","30","30","30","Retired",""
"2/4/2026","Mineralization - Ex-situ","O.C.O. Technology","Sensirion Holding AG","—","Carbonplace","1,000","1,000","1,000","Retired",""
"2/4/2026","Mineralization - Ex-situ","O.C.O. Technology","Sensirion Holding AG","—","Carbonplace","42","42","42","Retired",""
"2/4/2026","BiCRS - Biochar Carbon Removal (BCR)","Pacific Biochar","Union Square Ventures","—","Wren Climate, PBC","58","58","58","Retired",""
"2/2/2026","BiCRS - Biochar Carbon Removal (BCR)","Accend AS","Designworks Investments","—","Ecologi Action Ltd","24","24","24","Retired",""
"2/2/2026","BiCRS - Biomass Geological Sequestration","Vaulted Deep","Workday","—","Contracted","28","0","0","","—"
"2/2/2026","BiCRS - Biochar Carbon Removal (BCR)","Accend AS","Designworks Investments","—","Ecologi Action Ltd","1","1","1","Retired",""
"1/31/2026","BiCRS - Biomass Geological Sequestration","Vaulted Deep","Google","—","Delivered","123","123","0","","—"
"1/31/2026","BiCRS - Biomass Geological Sequestration","Vaulted Deep","H&M Group","—","Delivered","15","15","0","","—"
"1/31/2026","BiCRS - Biomass Geological Sequestration","Vaulted Deep","Watershed","—","Delivered","77","77","0","","—"
"1/31/2026","BiCRS - Biomass Geological Sequestration","Vaulted Deep","Shopify","—","Delivered","100","100","0","","—"
"1/31/2026","BiCRS - Biomass Geological Sequestration","Vaulted Deep","McKinsey","—","Retired","20","20","20","","—"
"1/31/2026","BiCRS - Biomass Geological Sequestration","Vaulted Deep","Stripe","—","Delivered","355","355","0","","—"
"1/31/2026","BiCRS - Biomass Geological Sequestration","Vaulted Deep","Workday","—","Retired","28","28","28","","—"
"1/31/2026","BiCRS - Biomass Geological Sequestration","Vaulted Deep","Meta Platforms","—","Delivered","170","170","0","","—"
"1/31/2026","BiCRS - Biomass Geological Sequestration","Vaulted Deep","JPMorgan Chase","—","Retired","86","86","86","","—"
"1/31/2026","BiCRS - Biomass Geological Sequestration","Vaulted Deep","Autodesk","—","Retired","11","11","11","","—"
"1/31/2026","BiCRS - Biomass Geological Sequestration","Vaulted Deep","JPMorgan Chase","—","Contracted","86","0","0","","—"
"1/30/2026","BiCRS - Biochar Carbon Removal (BCR)","Accend AS","Ecologi Action Ltd","—","Ecologi Action Ltd","70","70","70","Retired",""
