"text-gray-900","text-gray-900 2","text-gray-900 3","text-gray-900 4","text-gray-400","text-gray-900 5","font-mono","font-mono 2","font-mono 3","text-gray-900 6","text-gray-400 2"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Verora","Not Disclosed","—","Retired","0.77","0.77","0.77","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Carboneers","Celonis, Inc.","—","Retired","1,400","1,400","1,400","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Tachibana International Ghana","Gorgias","—","Patch","0.9","0.9","0.9","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Tachibana International Ghana","POPULOUS LIMITED","—","Patch","40.67","40.67","40.67","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Wongphai Co.,Ltd","Shopify","—","Planboo","0.4","0.4","0.4","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Verora","Not Disclosed","—","Retired","8.84","8.84","8.84","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Perivoli Climate Trust","Not Disclosed","—","Retired","1.21","1.21","1.21","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Verora","Not Disclosed","—","Retired","0.28","0.28","0.28","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","PyroCCS","Zen Internet","—","Retired","8.06","8.06","8.06","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","CarStorConTechnologies","Deutsche Post","—","Retired","28.84","28.84","28.84","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Carboneers","Optimised Group Limited","—","Retired","14","14","14","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Ökologische Klärschlammtrocknung Offenhausen GmbH","Avaloq Group AG","—","Patch","0.07","0.07","0.07","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Dark Earth Carbon Ltd","Not Disclosed","—","atmosfair gGmbH","39.88","39.88","39.88","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Biokolprodukter","Not Disclosed","—","Klimate","87","87","0","Delivered",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Ökologische Klärschlammtrocknung Offenhausen GmbH","Senken","","Novocarbo","24.4","24.4","24.4","Senken",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Verora","Not Disclosed","—","Retired","1.52","1.52","1.52","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","WasteX","Not Disclosed","—","Retired","0.07","0.07","0.07","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Energiewerk Ilg","WEtell GmbH","—","Retired","1.22","1.22","1.22","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","ÖkoMAXX Energiewerke GmbH","WEtell GmbH","—","Retired","32.52","32.52","32.52","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Verora","Not Disclosed","—","Retired","11.8","11.8","11.8","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","PyroCCS","Not Disclosed","—","atmosfair gGmbH","9.27","9.27","9.27","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Ökologische Klärschlammtrocknung Offenhausen GmbH","Weingut Becker","—","Retired","1.44","1.44","1.44","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Wongphai Co.,Ltd","Shopify","—","Planboo","155.28","155.28","155.28","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","PyroCCS","Not Disclosed","—","atmosfair gGmbH","2.4","2.4","2.4","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Wongphai Co.,Ltd","Shopify","—","Planboo","1.89","1.89","1.89","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","eoc energy ocean","Swiss Life","—","Retired","36.81","36.81","36.81","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Tachibana International Ghana","Gorgias","—","Patch","0.1","0.1","0.1","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Verora","Not Disclosed","—","Retired","4.42","4.42","4.42","","—"
"11/17/2025","Mineralization - Ex-situ","O.C.O. Technology","Cur8 Earth Limited","—","CUR8","19","19","0","Delivered",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Ökologische Klärschlammtrocknung Offenhausen GmbH","Refurbed","—","Patch","25","25","25","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","PyroCCS","Not Disclosed","—","atmosfair gGmbH","9.25","9.25","9.25","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","eoc energy ocean","Swiss Life","—","Retired","13.36","13.36","13.36","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Verora","Not Disclosed","—","Retired","5.9","5.9","5.9","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Verora","Not Disclosed","—","Retired","2.93","2.93","2.93","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Verora","Not Disclosed","—","Retired","0.73","0.73","0.73","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Ökologische Klärschlammtrocknung Offenhausen GmbH","Refurbed","—","Patch","0.63","0.63","0.63","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Ökologische Klärschlammtrocknung Offenhausen GmbH","Heinz Hobmeier","—","Retired","0.86","0.86","0.86","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Wongphai Co.,Ltd","Not Disclosed","—","Patch","0.1","0.1","0.1","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Verora","Not Disclosed","—","Retired","0.18","0.18","0.18","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","PyroCCS","Not Disclosed","—","atmosfair gGmbH","0.46","0.46","0.46","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Dark Earth Carbon Ltd","Not Disclosed","—","atmosfair gGmbH","1.19","1.19","1.19","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Verora","Not Disclosed","—","Retired","14","14","14","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","eoc energy ocean","Swiss Life","—","Retired","24.18","24.18","24.18","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Ökologische Klärschlammtrocknung Offenhausen GmbH","Senken","","Novocarbo","25.53","25.53","25.53","Senken",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Carboneers","Ten23 Health AG","—","Retired","34","34","34","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Tachibana International Ghana","Gorgias","—","Patch","22","22","22","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Verora","Not Disclosed","—","Retired","0.84","0.84","0.84","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Verora","Not Disclosed","—","Retired","1.1","1.1","1.1","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Perivoli Climate Trust","Not Disclosed","—","Retired","0.48","0.48","0.48","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","RecyCoal GmbH","Not Disclosed","—","Retired","5","5","5","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Wongphai Co.,Ltd","Shopify","—","Planboo","0.5","0.5","0.5","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Carboneers","Öresundskraft AB","—","Retired","100","100","100","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Ökologische Klärschlammtrocknung Offenhausen GmbH","Avaloq Group AG","—","Patch","25","25","25","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","ÖkoMAXX Energiewerke GmbH","WEtell GmbH","—","Retired","35.74","35.74","35.74","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Industrielle Werke Basel IWB","Not Disclosed","—","Retired","0.01","0.01","0.01","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Carboneers","VITEC Software Group AB","—","Retired","185","185","185","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Ökologische Klärschlammtrocknung Offenhausen GmbH","Senken","","Novocarbo","20.11","20.11","20.11","Senken",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Carboneers","Brunel Property S.A.R.L","—","Retired","0.03","0.03","0.03","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Fetzer Rohstoffe","WEtell GmbH","—","Retired","16.13","16.13","16.13","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Tachibana International Ghana","POPULOUS LIMITED","—","Patch","2.84","2.84","2.84","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Wongphai Co.,Ltd","Not Disclosed","—","Patch","0.03","0.03","0.03","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","WasteX","Not Disclosed","—","Retired","0.23","0.23","0.23","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Wongphai Co.,Ltd","Not Disclosed","—","Patch","0.18","0.18","0.18","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","PyroCCS","Not Disclosed","—","atmosfair gGmbH","8.53","8.53","8.53","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Verora","Not Disclosed","—","Retired","3.68","3.68","3.68","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Interholco","Elisa Oyj","—","Retired","200","200","200","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Verora","Not Disclosed","—","Retired","1.48","1.48","1.48","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Ökologische Klärschlammtrocknung Offenhausen GmbH","Senken","","Novocarbo","22.07","22.07","22.07","Senken",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","PyroCCS","Not Disclosed","—","atmosfair gGmbH","14","14","14","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","PyroCCS","Not Disclosed","—","atmosfair gGmbH","7.33","7.33","7.33","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Ökologische Klärschlammtrocknung Offenhausen GmbH","Refurbed","—","Patch","0.19","0.19","0.19","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","eoc energy ocean","Swiss Life","—","Retired","29.47","29.47","29.47","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Carboneers","Öresundskraft AB","—","Retired","6","6","6","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Exomad Green","FundApps Ltd","—","Supercritical","188","188","188","Retired",""
"11/17/2025","Mineralization - Ex-situ","EcoLocked","Not Disclosed","—","Retired","0.3","0.3","0.3","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","eoc energy ocean","Not Disclosed","—","Retired","9.26","9.26","9.26","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Fetzer Rohstoffe","WEtell GmbH","—","Retired","10.28","10.28","10.28","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","PyroCCS","Not Disclosed","—","atmosfair gGmbH","6.95","6.95","6.95","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Ökologische Klärschlammtrocknung Offenhausen GmbH","Refurbed","—","Patch","0.18","0.18","0.18","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","PyroCCS","Not Disclosed","—","atmosfair gGmbH","0.47","0.47","0.47","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Wongphai Co.,Ltd","Shopify","—","Planboo","76.62","76.62","76.62","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Carboneers","Brunel Property S.A.R.L","—","Retired","65.63","65.63","65.63","","—"
